x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,Y
99.4,89.964,-0.83,3.08,10.31,2.556,8.02,8.09,98.28,9.5,8.03,80.2,1273.3,2.4,10.2,830.1,815.4,0,38.43,162,162,162,162.7,162.8,162,162,162.1,162,162,162.1,162.5,162.6,162,162,162,35,0
98.8,90.04,-0.43,3.05,10.45,2.627,8.03,8.12,98.32,9.5,8.04,85.4,1307,2.7,10.7,781.4,769.1,0,38.27,162,162,161.9,162.1,162.4,162,161.9,162.1,162,162,161.9,162.2,162,161.9,162,162,29.3,1
95.3,90.066,-1.5,3.08,10.52,2.608,8.02,8.09,98.31,9.5,8.03,81.3,1299.5,2.8,10.4,780.5,769.5,0,38.35,162,162,162,162.6,162.7,162,162,162,162,162,162,162.4,162.4,162,162,162,33.4,0
99.6,90.001,0.37,3.11,10.55,2.615,8.02,8.09,98.33,9,8.03,81,1300.7,2.8,10.6,779.8,768.4,0,38.34,162,162,162,162.5,162.7,162,162,162,162,161.9,162,162.4,162.5,162,162,162,34.5,0
98.1,89.98,0.31,3.11,10.13,2.612,7.98,8.06,98.33,9,7.99,80.3,1296.8,2.4,10.3,779.2,767.8,0,38.25,162.1,162,162,162.5,162.6,162,161.9,162,162.1,162,162,162.4,162.4,162,162,162,34.9,0
97,89.946,-1.02,3.11,10.14,2.585,8.01,8.09,98.35,9,8.02,80.3,1287.8,2.8,10.6,779.7,767.9,0,38.34,162,162,162,162.6,162.7,162,162,162,162,162,162,162.4,162.4,162,162,162,34,0
98.9,90.006,-0.16,3.11,9.92,2.602,7.97,8.05,98.34,9,7.98,80.2,1292.4,2.8,10,779.3,767.4,0,38.35,162,162,162,162.5,162.7,162,162,162,161.9,161.9,162,162.3,162.5,162,162,162,34.3,0
98.8,89.983,0.34,3.11,9.5,2.615,8.03,8.1,98.36,9,8.04,80.8,1298.5,2.5,10.2,779.5,767.7,0,38.36,162,162,162,162.6,162.7,162,162,162,162.1,162.1,162,162.4,162.6,162,162,162,34.2,0
97.1,89.977,-1,3.11,9.55,2.587,8.04,8.12,98.35,9,8.04,80.6,1287.6,3,9.6,779.7,767.6,0,38.35,162,162,162,162.6,162.6,162,162,162,162,162,162,162.4,162.5,162,162,162,35.1,0
98.4,90.038,-0.39,3.11,9.94,2.595,7.96,8.04,98.33,9,7.96,79.5,1288.5,2.8,10.3,779.8,768.2,0,38.34,162,162,162,162.6,162.7,162,162,162,162.1,162,162,162.5,162.6,162,162,162,35.1,0
99.2,89.989,-0.22,3.11,9.92,2.602,8.02,8.09,98.33,9,8.02,80.1,1292.8,2.8,10,779.7,767.2,0,38.33,162,162,162,162.6,162.6,161.9,162,162,162,162,162,162.5,162.6,162,162,162,34.9,0
99.1,90.007,-0.54,3.11,10.36,2.595,8.02,8.1,98.33,9,8.03,80.4,1289.9,2.9,10.4,779.4,767.2,0.11,38.36,162,162,162,162.6,162.6,162,162,162,162.1,162,162,162.5,162.5,162,162,162,35,0
97.6,90.072,-0.31,3.11,10.4,2.597,7.95,8.03,98.32,9,7.95,80.5,1288,2.8,9.8,778.9,767.4,0,38.26,162,162,162,162.6,162.7,162,162,162,162,162,162,162.4,162.5,162,162,162,34.5,0
98.7,90.021,-1.45,3.11,10.55,2.572,7.98,8.05,98.32,9,7.98,80,1279.1,2.9,9.5,779.2,767.7,0,38.35,162.1,162,162,162.6,162.6,162,162,162,162,162,162,162.4,162.4,162,162,162,35,0
99,90.051,-1.42,3.11,10.33,2.574,7.98,8.05,98.32,9,7.98,79.7,1278.8,2.7,10,779.9,768.1,0,38.35,162,162,162,162.6,162.7,162,162,162,162,162,162,162.5,162.5,162.1,162.1,162.1,34.7,0
99.5,90.024,-0.83,3.11,10.37,2.587,8,8.09,98.33,9,8,80.2,1285.5,2.8,9.6,779.8,768.4,0,38.35,162,162,162,162.6,162.6,162,162,162,162,161.9,162,162.4,162.5,162.1,161.9,162,34.8,0
